Date Time,TimeToPass,Car#,TotalDailyCars,Temp
11/15/2024 15:25,3288,1,1,58
11/15/2024 15:25,7483,1,2,59
11/15/2024 15:25,1983,1,3,58
11/15/2024 15:25,1290,1,4,58
11/15/2024 15:25,2125,1,5,58
11/15/2024 15:25,1556,1,6,58
11/15/2024 15:26,3648,1,7,58
11/15/2024 15:26,1944,1,8,58
11/15/2024 15:28,1632,1,9,58
11/15/2024 15:28,2999,1,10,58
11/15/2024 15:28,2187,1,11,58
11/15/2024 15:28,1981,1,12,58
11/15/2024 15:28,1822,1,13,58
11/15/2024 15:28,1909,1,14,58
11/15/2024 15:29,1868,1,15,58
2024-11-15 15:38:30, 2790, 1 , 16, 59
2024-11-15 15:38:35, 2870, 1 , 17, 59
2024-11-15 15:51:18, 884, 1 , 18, 59
2024-11-15 15:52:19, 2542, 1 , 19, 59
2024-11-15 16:08:46, 180, 1 , 20, 61
2024-11-15 16:10:02, 5236, 1 , 21, 60
2024-11-15 16:10:05, 8774, 1 , 22, 60
2024-11-15 16:10:30, 5830, 1 , 23, 60
2024-11-15 16:16:45, 4352, 1 , 24, 59
2024-11-15 16:17:19, 1959, 1 , 25, 59
2024-11-15 17:14:10, 2090, 1 , 1, 57
2024-11-15 17:15:01, 92, 1 , 2, 56
2024-11-15 17:16:43, 4703, 1 , 3, 56
2024-11-15 17:16:55, 2353, 1 , 4, 56
2024-11-15 17:17:02, 5894, 1 , 5, 56
2024-11-15 17:17:36, 3023, 1 , 6, 56
2024-11-15 17:17:57, 5511, 1 , 7, 56
2024-11-15 17:17:59, 7186, 1 , 8, 56
2024-11-15 17:18:06, 1767, 1 , 9, 56
2024-11-15 17:18:09, 4003, 1 , 10, 56
2024-11-15 17:18:13, 3616, 1 , 11, 56
2024-11-15 17:18:17, 1407, 1 , 12, 56
2024-11-15 17:18:28, 1060, 1 , 13, 56
2024-11-15 17:18:41, 983, 1 , 14, 56
2024-11-15 17:18:46, 2278, 1 , 15, 56
2024-11-15 17:18:50, 1190, 1 , 16, 56
2024-11-15 17:18:54, 1509, 1 , 17, 56
2024-11-15 17:18:57, 4168, 1 , 18, 56
