Date Time,Millis,Car,TotalDailyCars,Temp
2024-11-02 13:56:41, 16836, 1 , 1, 74
2024-11-02 13:56:42, 17834, 1 , 2, 74
2024-11-02 13:56:43, 18836, 1 , 3, 74
2024-11-02 13:56:44, 19321, 1 , 4, 74
2024-11-02 13:56:44, 19839, 1 , 5, 74
2024-11-02 13:56:45, 20328, 1 , 6, 74
2024-11-02 13:56:46, 21331, 1 , 7, 74
2024-11-02 13:56:47, 22331, 1 , 8, 74
2024-11-02 13:56:48, 23332, 1 , 9, 74
2024-11-02 13:56:49, 24334, 1 , 10, 74
2024-11-02 13:56:50, 25335, 1 , 11, 74
2024-11-02 13:56:50, 25824, 1 , 12, 74
2024-11-02 13:56:51, 26827, 1 , 13, 74
2024-11-02 13:56:52, 27830, 1 , 14, 74
2024-11-02 13:56:53, 28831, 1 , 15, 74
2024-11-02 13:56:54, 29836, 1 , 16, 74
2024-11-02 13:56:55, 30322, 1 , 17, 74
2024-11-02 13:56:55, 30838, 1 , 18, 74
2024-11-02 13:56:56, 31333, 1 , 19, 74
2024-11-02 13:56:56, 31824, 1 , 20, 74
2024-11-02 13:56:57, 32830, 1 , 21, 74
2024-11-02 13:56:58, 33834, 1 , 22, 74
2024-11-02 13:56:59, 34836, 1 , 23, 74
2024-11-02 13:57:00, 35323, 1 , 24, 74
2024-11-02 13:57:02, 37326, 1 , 25, 74
2024-11-02 13:57:02, 37826, 1 , 26, 74
2024-11-02 13:57:03, 38327, 1 , 27, 74
2024-11-02 13:57:03, 38827, 1 , 28, 74
2024-11-02 13:57:04, 39329, 1 , 29, 74
2024-11-02 13:57:04, 39830, 1 , 30, 74
2024-11-02 13:57:05, 40332, 1 , 31, 74
2024-11-02 13:57:05, 40830, 1 , 32, 74
2024-11-02 13:57:06, 41331, 1 , 33, 74
2024-11-02 13:57:06, 41831, 1 , 34, 74
2024-11-02 13:57:07, 42332, 1 , 35, 74
2024-11-02 13:57:07, 42832, 1 , 36, 74
2024-11-02 13:57:08, 43332, 1 , 37, 74
2024-11-02 13:57:08, 43833, 1 , 38, 74
2024-11-02 13:57:09, 44336, 1 , 39, 74
2024-11-02 13:57:09, 44835, 1 , 40, 74
2024-11-02 13:57:10, 45336, 1 , 41, 74
2024-11-02 13:57:10, 45837, 1 , 42, 74
2024-11-02 13:57:11, 46338, 1 , 43, 74
2024-11-02 13:57:11, 46839, 1 , 44, 74
2024-11-02 13:57:12, 47338, 1 , 45, 74
2024-11-02 13:57:12, 47838, 1 , 46, 74
2024-11-02 13:57:13, 48337, 1 , 47, 74
2024-11-02 13:57:13, 48839, 1 , 48, 74
2024-11-02 13:57:14, 49340, 1 , 49, 74
2024-11-02 13:57:14, 49839, 1 , 50, 74
2024-11-02 13:57:15, 50336, 1 , 51, 74
2024-11-02 13:57:15, 50839, 1 , 52, 74
2024-11-02 13:57:16, 51339, 1 , 53, 74
2024-11-02 13:57:16, 51841, 1 , 54, 74
2024-11-02 13:57:17, 52323, 1 , 55, 74
2024-11-02 13:57:18, 53341, 1 , 56, 74
2024-11-02 13:57:19, 54331, 1 , 57, 74
