Date Time,TimeToPass,Car#,TotalDailyCars,Temp
2024-11-25 10:47:33, 2882, 1 , 9, 51
2024-11-25 10:59:35, 1204, 1 , 10, 52
2024-11-25 11:01:39, 1388, 1 , 11, 51
2024-11-25 11:07:00, 1783, 1 , 12, 52
2024-11-25 11:19:10, 1448, 1 , 13, 51
2024-11-25 11:28:40, 1389, 1 , 14, 51
2024-11-25 11:34:17, 1077, 1 , 15, 51
2024-11-25 12:03:07, 1472, 1 , 16, 51
2024-11-25 12:08:10, 1364, 1 , 17, 51
2024-11-25 12:11:06, 1009, 1 , 18, 51
2024-11-25 13:00:34, 1230, 1 , 19, 50
2024-11-25 13:08:24, 723, 1 , 20, 51
2024-11-25 13:16:34, 1251, 1 , 21, 50
2024-11-25 13:19:30, 917, 1 , 22, 50
2024-11-25 13:52:37, 1246, 1 , 23, 51
2024-11-25 13:54:03, 2096, 1 , 24, 50
2024-11-25 13:57:01, 852, 1 , 25, 51
2024-11-25 14:24:23, 1652, 1 , 26, 50
2024-11-25 14:47:02, 1362, 1 , 27, 50
2024-11-25 16:20:23, 1857, 1 , 26, 48
2024-11-25 16:28:07, 1324, 1 , 27, 47
2024-11-25 16:35:14, 1282, 1 , 28, 47
2024-11-25 16:40:35, 1313, 1 , 29, 47
2024-11-25 17:02:05, 1333, 1 , 1, 46
2024-11-25 17:07:21, 2783, 1 , 2, 46
2024-11-25 17:07:46, 20268, 1 , 3, 46
2024-11-25 17:08:05, 13534, 1 , 4, 46
2024-11-25 17:09:30, 74316, 1 , 5, 46
2024-11-25 17:09:46, 11709, 1 , 6, 46
2024-11-25 17:10:06, 14364, 1 , 7, 46
2024-11-25 17:10:21, 13425, 1 , 8, 46
2024-11-25 17:10:40, 4063, 1 , 9, 46
2024-11-25 17:11:01, 2480, 1 , 10, 46
2024-11-25 17:11:40, 2986, 1 , 11, 46
2024-11-25 17:11:55, 2130, 1 , 12, 46
2024-11-25 17:12:09, 1816, 1 , 13, 46
2024-11-25 17:12:18, 2806, 1 , 14, 46
2024-11-25 17:26:09, 1232, 1 , 15, 46
2024-11-25 17:32:30, 1580, 1 , 16, 46
2024-11-25 17:34:06, 1733, 1 , 17, 46
2024-11-25 17:38:13, 1835, 1 , 18, 46
2024-11-25 17:38:27, 2063, 1 , 19, 46
2024-11-25 17:38:33, 1265, 1 , 20, 46
2024-11-25 17:42:55, 1816, 1 , 21, 46
2024-11-25 17:43:03, 1629, 1 , 22, 46
2024-11-25 17:49:24, 1563, 1 , 23, 46
2024-11-25 18:15:57, 1318, 1 , 24, 46
2024-11-25 19:42:34, 1461, 1 , 25, 45
2024-11-26 08:50:34, 1283, 1 , 1, 32
2024-11-26 08:50:39, 1081, 1 , 2, 32
2024-11-26 08:50:45, 1223, 1 , 3, 32
2024-11-26 08:52:49, 960, 1 , 4, 32
2024-11-26 08:52:56, 898, 1 , 5, 32
2024-11-26 09:51:09, 1365, 1 , 6, 32
2024-11-26 10:18:17, 1316, 1 , 7, 33
2024-11-26 11:29:50, 1099, 1 , 8, 40
2024-11-26 11:30:51, 2082, 1 , 9, 40
2024-11-26 11:31:53, 903, 1 , 10, 40
2024-11-26 11:53:47, 110577, 1 , 11, 40
2024-11-26 12:51:16, 1546, 1 , 12, 46
2024-11-26 14:26:51, 266, 1 , 13, 43
2024-11-26 14:51:04, 861, 1 , 14, 42
2024-11-26 16:47:41, 1479, 1 , 15, 38
2024-11-26 17:05:38, 3022, 1 , 1, 38
2024-11-26 17:09:17, 2761, 1 , 2, 38
2024-11-26 17:10:53, 2577, 1 , 3, 38
2024-11-26 17:14:50, 6138, 1 , 4, 38
2024-11-26 17:21:19, 2026, 1 , 5, 38
2024-11-26 17:24:38, 2620, 1 , 6, 38
2024-11-26 17:25:01, 6852, 1 , 7, 38
2024-11-26 17:27:35, 1519, 1 , 8, 38
2024-11-26 17:27:37, 3446, 1 , 9, 38
2024-11-26 17:27:39, 5407, 1 , 10, 38
2024-11-26 17:27:41, 7400, 1 , 11, 38
2024-11-26 17:27:43, 9305, 1 , 12, 38
2024-11-26 17:27:45, 11283, 1 , 13, 38
2024-11-26 17:29:40, 4669, 1 , 14, 38
2024-11-26 17:32:44, 2210, 1 , 15, 38
2024-11-26 17:32:50, 1972, 1 , 16, 38
2024-11-26 17:41:42, 2369, 1 , 17, 38
2024-11-26 17:45:50, 3556, 1 , 18, 38
2024-11-26 17:46:07, 1115, 1 , 19, 38
2024-11-26 17:46:11, 2345, 1 , 20, 38
2024-11-26 17:47:08, 2460, 1 , 21, 38
2024-11-26 17:53:55, 2477, 1 , 22, 38
2024-11-26 17:57:21, 7006, 1 , 23, 38
2024-11-26 17:57:46, 3967, 1 , 24, 38
2024-11-27 06:47:21, 1496, 1 , 1, 489
2024-11-27 07:08:32, 1339, 1 , 2, 489
2024-11-27 08:11:12, 962, 1 , 3, 490
2024-11-27 08:21:07, 1148, 1 , 4, 491
2024-11-27 08:45:48, 1100, 1 , 5, 491
2024-11-27 10:25:18, 1952, 1 , 6, 36.95
2024-11-27 10:40:01, 1579, 1 , 7, 38.30
2024-11-27 10:53:33, 1175, 1 , 8, 38.75
2024-11-27 10:54:58, 1440, 1 , 9, 39.20
2024-11-27 11:22:20, 900, 1 , 10, 41.90
2024-11-27 11:44:28, 1309, 1 , 11, 42.35
2024-11-27 11:47:33, 683, 1 , 12, 42.35
2024-11-27 11:54:02, 1223, 1 , 13, 42.80
2024-11-27 12:23:45, 1263, 1 , 14, 44.15
