Date, Temp, Hour1, Hour2, Hour3, Hour4, Total
Date, Temp, Hour1, Hour2, Hour3, Hour4, Total
2024-10-23 13:06:08, 104360, 1 , 9, 63
2024-10-23 13:06:21, 117247, 1 , 10, 63
2024-10-23 13:11:21, 417479, 1 , 11, 63
Date, Temp, Hour1, Hour2, Hour3, Hour4, Total
Date, Temp, Hour1, Hour2, Hour3, Hour4, Total
Date, Temp, Hour1, Hour2, Hour3, Hour4, Total
2024-10-23 13:20:08, 102134, 1 , 12, 63
2024-10-23 13:26:08, 462420, 1 , 13, 63
2024-10-23 17:28:55, 15029597, 1 , 1, 57
2024-10-23 17:57:59, 16773470, 1 , 2, 56
2024-10-24 02:51:34, 48789628, 1 , 1, 44
2024-10-24 08:19:49, 68485202, 1 , 1, 43
2024-10-24 09:02:56, 71072556, 1 , 1, 44
2024-10-24 11:04:12, 78348719, 1 , 1, 53
2024-10-24 11:14:53, 78989507, 1 , 1, 54
2024-10-24 11:31:38, 79995095, 1 , 1, 54
2024-10-24 11:31:48, 80005173, 1 , 1, 54
